Date,Month,Day,Price,Open,High,Low,Volume,Chg%,,
"Apr 12, 2021",Apr,Mon,"1,582.00","1,680.20","1,697.70","1,573.45",2.81M,-8.60%,,
"Apr 09, 2021",Apr,Fri,"1,730.90","1,730.00","1,753.70","1,715.00",1.25M,0.26%,,
"Apr 08, 2021",Apr,Thu,"1,726.40","1,698.80","1,739.20","1,680.00",1.94M,1.02%,,
"Apr 07, 2021",Apr,Wed,"1,709.00","1,684.20","1,721.40","1,673.00",1.47M,1.21%,,
"Apr 06, 2021",Apr,Tue,"1,688.55","1,702.65","1,719.00","1,683.00",1.01M,-0.83%,,
"Apr 05, 2021",Apr,Mon,"1,702.65","1,726.00","1,737.95","1,677.40",1.62M,-2.80%,,
"Apr 01, 2021",Apr,Thu,"1,751.75","1,760.00","1,779.45","1,750.00",944.95K,-0.30%,,
"Mar 31, 2021",Mar,Wed,"1,757.00","1,758.70","1,774.95","1,735.00",1.09M,0.10%,,
"Mar 30, 2021",Mar,Tue,"1,755.25","1,740.40","1,774.00","1,740.40",1.47M,0.45%,,
"Mar 26, 2021",Mar,Fri,"1,747.40","1,750.00","1,770.00","1,718.30",1.78M,1.48%,,
"Mar 25, 2021",Mar,Thu,"1,721.85","1,769.00","1,769.00","1,705.00",2.17M,-2.20%,,
"Mar 24, 2021",Mar,Wed,"1,760.55","1,829.70","1,836.80","1,750.40",2.09M,-4.43%,,
"Mar 23, 2021",Mar,Tue,"1,842.15","1,848.50","1,861.00","1,831.00",1.32M,0.22%,,
"Mar 22, 2021",Mar,Mon,"1,838.05","1,857.00","1,879.00","1,804.15",2.25M,-0.94%,,
"Mar 19, 2021",Mar,Fri,"1,855.45","1,750.00","1,875.00","1,703.00",4.91M,5.03%,,
"Mar 18, 2021",Mar,Thu,"1,766.65","1,838.00","1,860.00","1,740.00",3.67M,-3.14%,,
"Mar 17, 2021",Mar,Wed,"1,824.00","1,905.00","1,919.45","1,801.00",2.36M,-4.20%,,
"Mar 16, 2021",Mar,Tue,"1,904.05","1,928.60","1,939.70","1,890.00",2.21M,-2.21%,,
"Mar 15, 2021",Mar,Mon,"1,947.05","2,006.45","2,006.45","1,915.00",2.11M,-2.03%,,
"Mar 12, 2021",Mar,Fri,"1,987.35","2,030.00","2,063.70","1,965.00",2.50M,-1.54%,,
"Mar 10, 2021",Mar,Wed,"2,018.50","2,045.00","2,047.80","2,007.00",1.70M,-0.40%,,
"Mar 09, 2021",Mar,Tue,"2,026.70","2,050.00","2,073.00","2,015.00",4.78M,0.56%,,
"Mar 08, 2021",Mar,Mon,"2,015.45","1,960.00","2,027.00","1,926.60",4.18M,3.84%,,
"Mar 05, 2021",Mar,Fri,"1,940.85","1,969.95","1,998.40","1,896.00",3.60M,-1.03%,,
"Mar 04, 2021",Mar,Thu,"1,961.10","1,885.00","2,015.80","1,870.00",9.59M,3.98%,,
"Mar 03, 2021",Mar,Wed,"1,886.10","1,899.00","1,930.00","1,880.00",1.83M,-0.61%,,
"Mar 02, 2021",Mar,Tue,"1,897.65","1,970.50","1,988.00","1,870.05",5.56M,-2.10%,,
"Mar 01, 2021",Mar,Mon,"1,938.45","1,787.95","1,974.85","1,775.55",6.62M,10.16%,,
"Feb 26, 2021",Feb,Fri,"1,759.65","1,695.00","1,809.95","1,680.00",5.13M,1.89%,,
"Feb 25, 2021",Feb,Thu,"1,726.95","1,685.00","1,739.75","1,670.00",1.91M,3.07%,,
"Feb 24, 2021",Feb,Wed,"1,675.45","1,638.00","1,697.00","1,630.10",647.09K,2.61%,,
"Feb 23, 2021",Feb,Tue,"1,632.90","1,614.95","1,642.10","1,592.80",937.49K,1.06%,,
"Feb 22, 2021",Feb,Mon,"1,615.85","1,675.00","1,675.00","1,598.00",1.72M,-3.55%,,
"Feb 19, 2021",Feb,Fri,"1,675.40","1,702.95","1,715.25","1,655.95",997.36K,-1.52%,,
"Feb 18, 2021",Feb,Thu,"1,701.20","1,686.05","1,726.00","1,686.05",936.10K,0.15%,,
"Feb 17, 2021",Feb,Wed,"1,698.65","1,672.00","1,730.00","1,657.00",2.09M,1.46%,,
